name,city,state,location_type,job_title,source_name,year,ad_id,city_state,lon,lat,ma_popup
Betsey Robbins,Acton,MA,Home,Milliner; mantuamaker,Middlesex Gazette,1818,Robbins 1,"Acton, MA",-71.43284078028182,42.485093644818086,"<b> Betsey Robbins </b> <br> 1818 <br> Milliner; mantuamaker <br> Acton, MA <br> Middlesex Gazette"
Betsey Robbins,Concord,MA,Store,Milliner; mantuamaker,Middlesex Gazette,1819,Robbins 2,"Concord, MA",-71.34894983090902,42.46037213624047,"<b> Betsey Robbins </b> <br> 1819 <br> Milliner; mantuamaker <br> Concord, MA <br> Middlesex Gazette"
Betsey Robbins,Concord,MA,NA,Milliner; mantuamaker,Middlesex Gazette,1820,Robbins 3,"Concord, MA",-71.3489484230422,42.46037168487738,"<b> Betsey Robbins </b> <br> 1820 <br> Milliner; mantuamaker <br> Concord, MA <br> Middlesex Gazette"
Betsey W. Dakin,Concord,MA,Home,Milliner; dressmaker,Concord Gazette and Middlesex Yeoman,1825,Dakin,"Concord, MA",-71.34895108157232,42.46037191663204,"<b> Betsey W. Dakin </b> <br> 1825 <br> Milliner; dressmaker <br> Concord, MA <br> Concord Gazette and Middlesex Yeoman"
Ann Prescott,Concord,MA,Store,Milliner; mantuamaker,Concord Gazette and Middlesex Yeoman,1825,Prescott,"Concord, MA",-71.34894989570539,42.46037145710807,"<b> Ann Prescott </b> <br> 1825 <br> Milliner; mantuamaker <br> Concord, MA <br> Concord Gazette and Middlesex Yeoman"
Miss C. Cloyes,Worcester,MA,Shop,Milliner; Mantua-Maker,Massachusetts Spy,1826,Cloyes,"Worcester, MA",-71.8022932544953,42.26259299632255,"<b> Miss C. Cloyes </b> <br> 1826 <br> Milliner; Mantua-Maker <br> Worcester, MA <br> Massachusetts Spy"
T.W. Convers,North Brookfield,MA,Home,Milliner; mantuamaker,Massachusetts Spy,1828,Convers TW,"North Brookfield, MA",-72.08504318250277,42.26855672922448,"<b> T.W. Convers </b> <br> 1828 <br> Milliner; mantuamaker <br> North Brookfield, MA <br> Massachusetts Spy"
A. Convers,Spencer,MA,NA,Milliner; mantuamaker,Massachusetts Spy,1828,Convers A,"Spencer, MA",-71.99228637038577,42.24396913136409,"<b> A. Convers </b> <br> 1828 <br> Milliner; mantuamaker <br> Spencer, MA <br> Massachusetts Spy"
S. Whitney,Southbridge,MA,Store,Dressmaker; Mantuamaker,Southbridge Register,1830,Whitney,"Southbridge, MA",-72.03339535798074,42.07510625862127,"<b> S. Whitney </b> <br> 1830 <br> Dressmaker; Mantuamaker <br> Southbridge, MA <br> Southbridge Register"
J.A. Pomeroy,Williamsburg,MA,Room over a store,Milliner; Dressmaker,Hampshire Gazette,1830,Pomeroy,"Williamsburg, MA",-72.73009841990309,42.392830143116036,"<b> J.A. Pomeroy </b> <br> 1830 <br> Milliner; Dressmaker <br> Williamsburg, MA <br> Hampshire Gazette"
Mrs. Gillett,Easthampton,MA,"""her father's residence""",Milliner; Mantua-Maker,Hampshire Gazette,1830,Gillett,"Easthampton, MA",-72.66898304374958,42.26675611660333,"<b> Mrs. Gillett </b> <br> 1830 <br> Milliner; Mantua-Maker <br> Easthampton, MA <br> Hampshire Gazette"
Bradford Baylies,Southbridge,MA,NA,Tailor,Southbridge Register; and Farmers; Mechanics and Manufacturers Advocate,1830,Baylies,"Southbridge, MA",-72.03338578887941,42.07510600332746,"<b> Bradford Baylies </b> <br> 1830 <br> Tailor <br> Southbridge, MA <br> Southbridge Register; and Farmers; Mechanics and Manufacturers Advocate"
Miss S. Pomroy,Amherst,MA,Shop,Tailoress,Hampshire Gazette,1830,Pomroy,"Amherst, MA",-72.51984989408268,42.37322141574954,"<b> Miss S. Pomroy </b> <br> 1830 <br> Tailoress <br> Amherst, MA <br> Hampshire Gazette"
Clarissa Trumbull; Mary Ann Nash,Southampton,MA,Room over a store,Mantuamaker; Milliner,Hampshire Gazette,1831,Nash/Trumbull,"Southampton, MA",-72.73008969381961,42.229256395851394,"<b> Clarissa Trumbull; Mary Ann Nash </b> <br> 1831 <br> Mantuamaker; Milliner <br> Southampton, MA <br> Hampshire Gazette"
S. Sanders,Lowell,MA,Store,Milliner; dressmaker,Middlesex Telegraph and Manufacturers' and Farmers' Advocate,1831,Sanders,"Lowell, MA",-71.31616647724483,42.633424820617776,"<b> S. Sanders </b> <br> 1831 <br> Milliner; dressmaker <br> Lowell, MA <br> Middlesex Telegraph and Manufacturers' and Farmers' Advocate"
Mariett Ingham,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1831,Ingham,"Pittsfield, MA",-73.2453809854893,42.450084767170964,"<b> Mariett Ingham </b> <br> 1831 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
J. Stevens; Mrs. Stevens,Pittsfield,MA,Store,Store owner; Milliner; Dressmaker,Pittsfield Sun,1831,Stevens 2,"Pittsfield, MA",-73.24537877557628,42.45008407228958,"<b> J. Stevens; Mrs. Stevens </b> <br> 1831 <br> Store owner; Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Miss M. Dunham; Miss A. Dunham,Pittsfield,MA,Room over a store,Dressmaker,Pittsfield Sun,1832,Dunham M/A,"Pittsfield, MA",-73.2453824729654,42.45008544398865,"<b> Miss M. Dunham; Miss A. Dunham </b> <br> 1832 <br> Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Mary W. Lee,Chesterfield,MA,Room over a store,Mantuamaker; Milliner,Hampshire Gazette,1832,Lee,"Chesterfield, MA",-72.83981564861759,42.39175490736123,"<b> Mary W. Lee </b> <br> 1832 <br> Mantuamaker; Milliner <br> Chesterfield, MA <br> Hampshire Gazette"
Miss M. Brown,Pittsfield,MA,Room,Milliner; Mantua-Maker,Pittsfield Sun,1832,Brown,"Pittsfield, MA",-73.24537861847271,42.45008477619319,"<b> Miss M. Brown </b> <br> 1832 <br> Milliner; Mantua-Maker <br> Pittsfield, MA <br> Pittsfield Sun"
Mariett Ingham; Emily E. Ingham,Pittsfield,MA,Store,Milliner; Dressmaker,Pittsfield Sun,1833,Ingham M/EE,"Pittsfield, MA",-73.2453831520765,42.45008523838894,"<b> Mariett Ingham; Emily E. Ingham </b> <br> 1833 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Susan Ingham,Pittsfield,MA,Room,Milliner; Dressmaker,Pittsfield Sun,1833,Ingham S,"Pittsfield, MA",-73.24538651002977,42.45008446652301,"<b> Susan Ingham </b> <br> 1833 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Miss L. Johnson,Barre,MA,NA,Milliner; Dressmaker,Farmer's Gazette,1834,Johnson,"Barre, MA",-72.10509663208772,42.42290383070575,"<b> Miss L. Johnson </b> <br> 1834 <br> Milliner; Dressmaker <br> Barre, MA <br> Farmer's Gazette"
S.T. Bodurtha,Pittsfield,MA,Store,Milliner; Dressmaker,Pittsfield Sun,1835,Bodurtha 1,"Pittsfield, MA",-73.24538128464481,42.45008419683107,"<b> S.T. Bodurtha </b> <br> 1835 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Miss Davis; Miss Beckwith,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1835,Davis/Beckwith 1,"Pittsfield, MA",-73.24538326662672,42.450084147157426,"<b> Miss Davis; Miss Beckwith </b> <br> 1835 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Sarah L. Ackley,Tyringham,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1835,Ackley,"Tyringham, MA",-73.20371961191353,42.24592157472244,"<b> Sarah L. Ackley </b> <br> 1835 <br> Milliner; Dressmaker <br> Tyringham, MA <br> Pittsfield Sun"
Mary S. Bowe,Chesterfield,MA,"""a room at Mr. Bissell's""",Milliner; Mantua-Maker,Hampshire Gazette,1835,Bowe,"Chesterfield, MA",-72.83981481776897,42.39175414813068,"<b> Mary S. Bowe </b> <br> 1835 <br> Milliner; Mantua-Maker <br> Chesterfield, MA <br> Hampshire Gazette"
Hannah Skinner,Lowell,MA,Store,Tailoress,Lowell Patriot,1835,Skinner,"Lowell, MA",-71.31617769884882,42.63342568689018,"<b> Hannah Skinner </b> <br> 1835 <br> Tailoress <br> Lowell, MA <br> Lowell Patriot"
Miss Davis; Miss Beckwith,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1836,Davis/Beckwith 2,"Pittsfield, MA",-73.24537881877662,42.45008419174395,"<b> Miss Davis; Miss Beckwith </b> <br> 1836 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Miss Davis; Miss Beckwith,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1836,Davis/Beckwith 3,"Pittsfield, MA",-73.24538271881866,42.45008473704402,"<b> Miss Davis; Miss Beckwith </b> <br> 1836 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
S.T. Bodurtha,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1836,Bodurtha 2,"Pittsfield, MA",-73.24538426470075,42.45008487310741,"<b> S.T. Bodurtha </b> <br> 1836 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Minerva Pelton,Pittsfield,MA,Shop in a home,Dressmaker,Pittsfield Sun,1837,Pelton,"Pittsfield, MA",-73.24538262260577,42.450084749346864,"<b> Minerva Pelton </b> <br> 1837 <br> Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
Ann A. Woodbury,Newburyport,MA,NA,Milliner,Newburyport Morning Herald,1837,Woodbury,"Newburyport, MA",-70.87727522900624,42.812590519887486,"<b> Ann A. Woodbury </b> <br> 1837 <br> Milliner <br> Newburyport, MA <br> Newburyport Morning Herald"
E.W. Freeman,Lowell,MA,Home,Milliner; dressmaker,Lowell Patriot,1837,Freeman,"Lowell, MA",-71.31617442304872,42.63342569865632,"<b> E.W. Freeman </b> <br> 1837 <br> Milliner; dressmaker <br> Lowell, MA <br> Lowell Patriot"
Miss Davis,Pittsfield,MA,NA,Milliner; Dressmaker,Pittsfield Sun,1837,Davis 1,"Pittsfield, MA",-73.24538720463192,42.450084295545025,"<b> Miss Davis </b> <br> 1837 <br> Milliner; Dressmaker <br> Pittsfield, MA <br> Pittsfield Sun"
