name,job_title,address,city,state,location_type,additional_details,source_type,ad_type,source_name,year,source_location,ad_id,name_id
Mehitable Emerson,Tailoress,NA,Haverhill,MA,Store,"""Tailoress; Pelisee & Habit Maker""; carrying on Mr. John Rollings's tailoring business",Newspaper advertisement,Goods and services,Merrimack Intelligencer,1810,Genealogy Bank,Emerson,Emerson
Betsey Robbins,Milliner; mantuamaker,NA,Acton,MA,Home,At Mr. Charles Robbins's house,Newspaper advertisement,Goods and services,Middlesex Gazette,1818,Genealogy Bank,Robbins 1,Robbins
Betsey Robbins,Milliner; mantuamaker,"""a room of Mr. Joshua Stone""",Concord,MA,Store,Moved from Acton to Concord,Newspaper advertisement,Goods and services,Middlesex Gazette,1819,Genealogy Bank,Robbins 2,Robbins
Betsey Robbins,Milliner; mantuamaker,"""near Mr. McIntosh's Hotel""",Concord,MA,NA,,Newspaper advertisement,Goods and services,Middlesex Gazette,1820,Genealogy Bank,Robbins 3,Robbins
Ruth W. Messer,Tailoress,No. 3 Water St,Haverhill,MA,Store,"Located over Messrs. Hersey and Bailey's store; ""has cut more than five hundred garments in the celebrated Weir method""",Newspaper advertisement,Goods and services,Haverhill Gazette,1823,Genealogy Bank,Messer,Messer
Betsey W. Dakin,Milliner; dressmaker,"""House occupied by Deac. Parkman oppoiste Mr. Wakefield's Hotel""",Concord,MA,Home,"Has ""engaged a good Milliner""",Newspaper advertisement,Goods and services,Concord Gazette and Middlesex Yeoman,1825,Genealogy Bank,Dakin,Dakin
Ann Prescott,Milliner; mantuamaker,"""the shop lately occupied by Mrs. Meriam""",Concord,MA,Store,Hired an assistant from Boston ,Newspaper advertisement,Goods and services,Concord Gazette and Middlesex Yeoman,1825,Genealogy Bank,Prescott,Prescot
Miss C. Cloyes,Milliner; Mantua-Maker,NA,Worcester,MA,Shop,"""Dresses made in the latest fashion""",Newspaper advertisement,Goods and services,Massachusetts Spy,1826,OSV Library,Cloyes,Cloyes
T.W. Convers,Milliner; mantuamaker,,North Brookfield,MA,Home,Will meet customers in their homes,Jean's list; Newspaper advertisement,Goods and services,Massachusetts Spy,1828,Genealogy Bank,Convers TW,Convers TW
A. Convers,Milliner; mantuamaker,"""Two doors east of the Meeting House""",Spencer,MA,NA,Navarino Flats and artificial flowers,Newspaper advertisement,Goods and services,Massachusetts Spy,1828,Genealogy Bank,Convers A,Convers A
