name,job_title,street_address,year,source_name,popup,geometry
Miss Winchester,Milliner; Dressmaker,"27 Main Street, Worcester, MA",1843,Worcester Palladium,"<b> Miss Winchester </b> <br> 1843 <br> Milliner; Dressmaker <br> 27 Main Street, Worcester, MA <br> Worcester Palladium","c(-71.7572576797309, 42.2978433179443)"
Mrs. Towne,Store owner,"7 Granite Block, Worcester, MA",1844,Worcester Palladium,"<b> Mrs. Towne </b> <br> 1844 <br> Store owner <br> 7 Granite Block, Worcester, MA <br> Worcester Palladium","c(-71.7898573607922, 42.2478898486762)"
Miss Winchester,Milliner; Dressmaker,"47 Main Street, Worcester, MA",1846,Worcester Palladium,"<b> Miss Winchester </b> <br> 1846 <br> Milliner; Dressmaker <br> 47 Main Street, Worcester, MA <br> Worcester Palladium","c(-71.7990764853302, 42.2706898551294)"
Miss Winchester,Milliner; Dressmaker,"47 Main Street, Worcester, MA",1847,Worcester Palladium,"<b> Miss Winchester </b> <br> 1847 <br> Milliner; Dressmaker <br> 47 Main Street, Worcester, MA <br> Worcester Palladium","c(-71.7993887399013, 42.2705026133575)"
Goldthwait P,Dressmaker,"Brown St/Pond St, Worcester, MA",1844,Worcester City Directory,"<b> Goldthwait P </b> <br> 1844 <br> Dressmaker <br> Brown St/Pond St, Worcester, MA <br> Worcester City Directory","c(-71.796835093482, 42.2574686017561)"
Persis Goldthwait,Dressmaker,"Thomas St, Worcester, MA",1844,Worcester City Directory,"<b> Persis Goldthwait </b> <br> 1844 <br> Dressmaker <br> Thomas St, Worcester, MA <br> Worcester City Directory","c(-71.7984108795514, 42.2680538387507)"
Sarah R. Parmenter,Dressmaker,"78 Main St, Worcester, MA",1844,Worcester City Directory,"<b> Sarah R. Parmenter </b> <br> 1844 <br> Dressmaker <br> 78 Main St, Worcester, MA <br> Worcester City Directory","c(-71.7999188281845, 42.2701007810816)"
Susan Richards,Dressmaker,"14 Green St, Worcester, MA",1844,Worcester City Directory,"<b> Susan Richards </b> <br> 1844 <br> Dressmaker <br> 14 Green St, Worcester, MA <br> Worcester City Directory","c(-71.7978421784218, 42.2590948140692)"
Clarissa Corey,Tailoress,"Mechanic St, Worcester, MA",1844,Worcester City Directory,"<b> Clarissa Corey </b> <br> 1844 <br> Tailoress <br> Mechanic St, Worcester, MA <br> Worcester City Directory","c(-71.8008529624516, 42.2640505196962)"
Lucy R. Pease,Tailoress,"Corner of Mechanic and Short Streets, Worcester, MA",1844,Worcester City Directory,"<b> Lucy R. Pease </b> <br> 1844 <br> Tailoress <br> Corner of Mechanic and Short Streets, Worcester, MA <br> Worcester City Directory","c(-71.7720678101798, 42.2468627283756)"
